date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:44	3862/3862	---M--	200	added ('OK')	text/html	date:Wed,%2009%20Jul%202025%2008:02:45%20GMT	http://sibagrades.iba-suk.edu.pk:86/Default.aspx	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Default.html	(from )
13:02:44	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:45%20GMT	http://sibagrades.iba-suk.edu.pk:86/robots.txt		(from )
13:02:44	2550/2550	---M--	200	added ('OK')	text/css	etag:%22016de3aa615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/1140.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/1140.css	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:45	55369/55369	---M--	200	added ('OK')	text/css	etag:%22fb6c70959a46ce1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/style.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/style.css	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:47	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:46%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_scripts/jquery.fullcalendar/fullcalendar.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_scripts/jquery.fullcalendar/fullcalendar.3.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:47	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:47%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_scripts/jquery.fullcalendar/fullcalendar.print.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_scripts/jquery.fullcalendar/fullcalendar.print.4.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:47	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:48%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/scripts/jquery.uniform/uniform.default.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/scripts/jquery.uniform/uniform.default.5.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:47	0/0	---M--	200	added ('OK')	text/css	etag:%220f41755a615cd1:0%22	http://sibagrades.iba-suk.edu.pk:86/Resources/_themes/default.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_themes/default.6.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:48%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/scripts/jquery.ui/ui-lightness/jquery-ui-1.8.18.custom.css	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/scripts/jquery.ui/ui-lightness/jquery-ui-1.8.18.custom.7.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
13:02:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Jul%202025%2008:02:48%20GMT	http://sibagrades.iba-suk.edu.pk:86/Resources/_layout/scripts/css3-mediaqueries.js	D:/Mr_AamirFolio/CMS-SIBA/sibagrades.iba-suk.edu.pk_86/Resources/_layout/scripts/css3-mediaqueries.8.delayed	(from http://sibagrades.iba-suk.edu.pk:86/Default.aspx)
